站號,地區,站名,lng,lat,總車位,可借車位數,可還空位數,營運狀態,可借車佔比
1359,樹林區,味王街,121.404424,24.974674,30,22,2,1,0.7333333333333333
1360,新莊區,福基公園,121.460892,25.058100,32,2,30,1,0.0625
1361,板橋區,振義里公園,121.483965,25.023888,22,2,20,1,0.09090909090909091
1362,三峽區,安溪國小,121.372344,24.930621,36,14,22,1,0.3888888888888889
1363,中和區,中和安和路口,121.506022,24.999667,34,23,10,1,0.6764705882352942
1364,中和區,元氣大鎮社區,121.478997,25.005718,20,6,14,1,0.3
1365,中和區,員勝公園,121.478686,25.010284,32,24,8,1,0.75
1366,永和區,永和自由街,121.513339,25.005200,24,3,21,1,0.125
1367,中和區,安樂宜安路口,121.513506,24.995273,28,16,11,1,0.5714285714285714
1368,新莊區,昌隆國小,121.454891,25.052129,30,4,26,1,0.13333333333333333
1369,新莊區,捷運新莊副都心站,121.446614,25.059145,46,31,15,1,0.6739130434782609
1370,泰山區,捷運泰山站,121.439683,25.053127,34,19,15,1,0.5588235294117647
1371,八里區,八里中庄市場綜合大樓,121.414074,25.159934,36,13,21,1,0.3611111111111111
1372,板橋區,江翠國中,121.468512,25.027987,30,14,16,1,0.4666666666666667
1373,新莊區,捷運新北產業園區站,121.459184,25.062029,44,33,9,1,0.75
1374,泰山區,捷運泰山貴和站,121.422215,25.033192,36,3,33,1,0.08333333333333333
1375,八里區,龍形停車場,121.451302,25.130410,40,19,20,1,0.475
1376,淡水區,捷運紅樹林站,121.459124,25.153578,58,16,42,1,0.27586206896551724
1377,淡水區,大庄一號公園,121.422185,25.181957,28,2,25,1,0.07142857142857142
1378,林口區,三井Outlet,121.366303,25.071574,50,36,14,1,0.72
1379,五股區,貿商國宅,121.43031,25.069463,40,14,26,1,0.35
1380,三重區,中正北路193巷(愛買三重店),121.475985,25.071362,42,15,21,1,0.35714285714285715
1381,三重區,翔譽雙子星,121.492924,25.053638,28,4,23,1,0.14285714285714285
1382,泰山區,明志科技大學,121.422548,25.040434,50,31,18,1,0.62
